ROLL  NO,Attendance 22/10/2019
16115001,
16115002,
16115003,
16115004,
16115005,
16115006,
16115007,
16115008,
16115009,
16115010,
16115011,
16115012,
16115013,
16115014,
16115015,
16115016,
16115017,
16115018,
16115019,
16115020,P
16115021,
16115022,
16115023,
16115024,
16115025,
16115026,
16115027,
16115028,
16115029,
16115030,
16115031,
16115032,
16115033,
16115034,
16115035,
16115036,
16115037,
16115038,
16115039,
16115040,
16115041,
16115042,
16115043,
16115044,
16115045,
16115046,
16115047,
16115048,
16115049,
16115050,
16115051,
16115052,
16115053,
16115054,
16115055,
16115056,
16115057,
16115058,
16115059,
16115060,
16115061,
16115062,
16115063,
16115064,
16115065,
16115066,
16115067,
16115068,
16115069,
16115070,
16115071,
16115072,
16115073,
16115074,
16115075,
16115076,
16115077,
16115078,
16115079,
16115080,
16115081,
16115082,
16115083,
16115084,
16115085,
16115086,
16115087,
16115088,
16115089,
16115090,
